timestamp_ms,raw_x_ut,raw_y_ut,raw_z_ut,cal_x_ut,cal_y_ut,cal_z_ut
7779,-18.1946,-23.7976,-38.5986,-6.8625,-0.3676,-15.9963
7789,-18.4143,-23.7854,-38.3301,-7.0366,-0.3501,-15.7829
7799,-18.2495,-23.9014,-38.6536,-6.9029,-0.4512,-16.0403
7809,-18.3716,-24.0234,-38.4460,-6.9980,-0.5445,-15.8779
7819,-18.3105,-23.9136,-38.5925,-6.9508,-0.4591,-15.9919
7829,-18.2983,-23.6450,-38.2324,-6.9498,-0.2374,-15.7054
7839,-18.2617,-23.8831,-38.3484,-6.9160,-0.4317,-15.8003
7849,-18.2556,-23.7671,-38.2751,-6.9140,-0.3372,-15.7412
7859,-18.2190,-23.7427,-38.5132,-6.8834,-0.3217,-15.9281
7869,-18.2800,-23.8403,-38.4949,-6.9294,-0.3991,-15.9145
7879,-18.3167,-23.7488,-38.3789,-6.9607,-0.3229,-15.8217
7889,-18.2617,-23.7854,-38.3789,-6.9173,-0.3534,-15.8229
7899,-18.2068,-23.7793,-38.6719,-6.8716,-0.3537,-16.0533
7909,-18.3167,-23.7488,-38.3789,-6.9607,-0.3229,-15.8217
7919,-18.2373,-23.7671,-38.3545,-6.8989,-0.3387,-15.8037
7929,-18.2739,-23.8220,-38.1897,-6.9283,-0.3800,-15.6748
7939,-18.2678,-23.8281,-38.4033,-6.9211,-0.3881,-15.8426
7949,-18.2922,-23.8281,-38.3240,-6.9410,-0.3866,-15.7801
7959,-18.3105,-23.6938,-38.4827,-6.9558,-0.2803,-15.9025
7969,-18.3044,-23.8770,-38.5132,-6.9476,-0.4285,-15.9292
7979,-18.1824,-23.7488,-38.2202,-6.8580,-0.3229,-15.6986
7989,-18.3655,-23.7488,-38.5376,-6.9970,-0.3244,-15.9458
7999,-18.2617,-23.8770,-38.4155,-6.9154,-0.4278,-15.8530
8009,-18.3228,-23.7122,-38.2690,-6.9673,-0.2917,-15.7349
8019,-18.4021,-23.7488,-38.3362,-7.0276,-0.3209,-15.7873
8029,-18.3533,-23.7671,-38.5132,-6.9874,-0.3391,-15.9270
8039,-18.2983,-23.6816,-38.5925,-6.9453,-0.2722,-15.9886
8049,-18.2678,-23.5779,-38.3789,-6.9256,-0.1859,-15.8198
8059,-18.1946,-23.7488,-38.4766,-6.8647,-0.3265,-15.8997
8069,-18.3289,-23.9502,-38.3728,-6.9668,-0.4851,-15.8198
8079,-18.3777,-23.6938,-38.5437,-7.0073,-0.2800,-15.9496
8089,-18.3777,-23.8403,-38.4521,-7.0058,-0.3968,-15.8799
8099,-18.3350,-24.0234,-38.5254,-6.9687,-0.5463,-15.9405
8109,-18.4204,-23.7976,-38.2568,-7.0419,-0.3588,-15.7255
8173,-18.3655,-23.7183,-38.5803,-6.9970,-0.3004,-15.9789
8183,-18.3411,-23.8464,-38.3667,-6.9782,-0.4011,-15.8133
