timestamp_us,pressure,temperature
215051925,9204920,9251064
215067925,9204984,9251512
215083925,9205016,9251960
215099925,9203960,9251128
215115925,9205240,9250712
215131925,9205112,9251608
215147925,9205976,9252216
215163925,9205208,9252056
215179925,9205304,9251480
215195925,9204856,9250968
215211925,9204280,9252728
215227925,9204824,9251704
215243925,9204824,9250808
215259925,9204760,9251192
215275925,9205624,9251896
215291925,9205048,9250840
215307925,9204856,9251928
215323925,9204664,9251000
215339925,9204376,9251352
215355925,9204952,9250936
215371925,9205464,9252408
215387925,9204728,9251160
215403925,9204280,9252312
215419925,9205112,9251704
215435925,9204472,9251544
215451925,9204664,9251928
215467925,9204344,9250872
215483925,9204696,9251832
215499925,9205272,9252472
215515925,9204472,9251320
215531925,9204600,9252536
215547925,9204280,9252376
215563925,9205048,9251768
215579925,9205176,9251608
215595925,9204856,9252856
215611925,9205112,9251640
215627925,9204696,9252056
215643925,9205368,9252152
215659925,9204664,9252952
215675925,9204024,9252120
215691925,9204184,9251832
215707925,9205208,9251896
215723925,9205336,9251704
215739925,9205656,9250584
215755925,9204312,9252440
215771925,9204088,9252440
215787925,9204664,9252600
215803925,9204888,9251800
215819925,9205304,9252248
215835925,9204664,9251384
215851925,9205112,9251992
215867925,9205496,9250904
215883925,9205208,9251544
215899925,9204920,9251192
215915925,9206168,9251960
215931925,9205432,9251032
215947925,9204280,9251992
215963925,9205624,9251832
215979925,9204408,9251896
215995925,9205080,9251288
216011925,9204600,9252472
216027925,9204568,9252344
216043925,9204184,9251416
216059925,9204920,9251576
216075925,9205336,9251320
216091925,9205528,9253400
216107925,9205208,9251384
216123925,9205208,9251064
216139925,9204632,9250936
216155925,9203544,9251448
216171925,9204344,9251704
216319925,9205400,9249688
216335925,9205016,9248952
216351925,9206104,9249720
216367925,9204760,9250360
216383925,9205592,9249304
216399925,9205688,9251128
216415925,9205304,9249976
216431925,9205368,9248440
216447925,9205240,9249816
216463925,9205976,9250232
216479925,9204664,9250104
216495925,9206104,9250552
216511925,9206296,9249528
216527925,9205368,9249752
216543925,9204728,9250552
216559925,9206872,9250776
216575925,9206200,9250360
216591925,9205816,9249304
216607925,9205304,9249144
216623925,9205528,9248664
216639925,9204888,9250392
216655925,9205848,9250776
216671925,9206104,9249976
216687925,9205496,9250392
216703925,9204984,9250296
216719925,9204888,9250968
216735925,9204792,9251160
216751925,9204856,9250264
216767925,9204952,9250616
216783925,9204312,9251064
216799925,9205976,9251128
216815925,9205560,9251992
216831925,9204888,9251096
216847925,9204952,9251128
216863925,9204792,9251192
216879925,9204440,9251480
216895925,9204888,9251000
216911925,9204440,9251448
216927925,9205464,9251512
216943925,9204728,9250264
216959925,9204440,9252248
216975925,9205048,9250008
216991925,9203896,9251608
217007925,9205048,9251896
217023925,9203544,9251064
217039925,9204856,9251128
217055925,9204344,9251928
217071925,9204984,9251224
217087925,9204952,9251736
217103925,9204440,9251608
217119925,9204536,9252024
217135925,9204152,9250200
217151925,9204984,9251224
217167925,9204504,9251480
217183925,9205432,9251064
217199925,9204632,9251096
217215925,9205240,9251512
217231925,9205624,9251608
217247925,9203960,9252568
217263925,9204952,9252024
217279925,9205784,9252120
217295925,9204504,9251448
217311925,9203992,9252280
217327925,9205176,9251864
217343925,9205752,9252152
217359925,9203992,9251288
217375925,9205080,9251800
217391925,9205208,9250872
217407925,9205176,9251896
217423925,9204440,9251800
217439925,9204536,9250232
217455925,9205208,9251032
217471925,9204568,9251544
217487925,9205016,9251992
217503925,9205944,9251480
217519925,9205144,9252664
217535925,9204888,9251544
217551925,9205176,9251864
217567925,9204824,9252248
217583925,9205016,9251128
217599925,9204056,9251256
217615925,9204376,9250680
217631925,9205720,9252248
217647925,9205016,9252184
217663925,9204664,9251768
217679925,9204888,9251000
217695925,9206008,9250968
217711925,9205592,9251608
217727925,9204056,9251992
217743925,9205240,9251032
217759925,9205144,9251576
217775925,9204408,9252440
217791925,9205944,9251256
217807925,9203576,9251736
217823925,9204888,9251768
217839925,9204056,9251640
217855925,9205464,9251288
217871925,9204664,9252184
217887925,9204632,9252408
217903925,9205144,9251960
217919925,9204344,9250776
217935925,9204824,9251512
217951925,9204856,9251192
217967925,9204696,9251160
217983925,9204728,9250712
217999925,9205784,9251672
218015925,9205016,9251960
218031925,9205144,9251800
218047925,9205432,9252248
218063925,9205400,9251448
218079925,9205080,9251544
218095925,9205048,9252152
218111925,9204024,9252248
218127925,9204216,9252504
218143925,9204312,9251352
218159925,9204920,9250744
218175925,9204600,9251896
218191925,9204632,9251864
218207925,9204856,9251672
218223925,9204536,9251704
218239925,9204312,9251800
218255925,9205208,9252440
218271925,9205048,9251768
218287925,9205144,9250904
218303925,9205080,9252120
218319925,9205112,9251288
218335925,9203896,9251704
218351925,9204728,9252216
218367925,9204696,9251160
218383925,9205624,9252312
218399925,9205112,9250904
218415925,9205048,9251928
218431925,9204888,9251864
218447925,9204856,9252056
218463925,9204888,9252152
218479925,9205048,9251416
218495925,9204952,9250872
218511925,9205304,9251448
218527925,9204664,9252216
218543925,9204952,9251672
218559925,9204216,9252056
218575925,9203608,9250904
218591925,9204440,9252728
218607925,9205720,9252056
218623925,9204024,9251512
218639925,9205304,9251288
218655925,9204568,9251800
218671925,9205272,9251512
218687925,9204984,9250648
218703925,9204920,9250904
218719925,9205400,9252184
218735925,9205304,9252504
218881925,9205752,9248120
218897925,9205016,9249496
218913925,9205848,9249688
218929925,9206616,9249528
218945925,9205112,9250072
218961925,9205912,9250232
218977925,9205400,9248664
218993925,9205336,9249368
219009925,9206008,9248792
219025925,9205528,9250584
219041925,9205304,9249592
219057925,9204632,9250008
219073925,9205368,9250264
219089925,9204888,9250648
219105925,9205240,9249912
219121925,9206424,9250136
219137925,9205752,9249752
219153925,9205560,9250840
219169925,9206520,9250008
219185925,9205144,9250776
219201925,9205784,9250488
219217925,9204920,9250840
219233925,9205432,9250552
219249925,9205880,9250200
219265925,9204920,9250104
219281925,9205496,9250968
219297925,9205528,9250872
219313925,9205880,9249688
219329925,9205240,9250040
219345925,9205368,9249848
219361925,9205176,9251128
219377925,9204856,9250424
219393925,9205176,9250520
219409925,9205112,9251352
219425925,9205688,9250424
219441925,9204696,9250904
219457925,9205016,9250168
219473925,9204920,9251224
219489925,9205400,9251352
219505925,9204728,9251704
219521925,9205400,9251672
219537925,9205144,9252024
219553925,9204088,9251224
219569925,9205400,9251480
219585925,9204984,9252056
219601925,9205208,9251160
219617925,9205624,9251512
219633925,9205720,9251160
219649925,9205080,9251224
219665925,9204152,9251512
219681925,9204568,9250648
219697925,9204536,9250232
219713925,9204696,9250392
219729925,9205752,9251896
219745925,9204920,9251224
219761925,9204920,9251992
219777925,9205720,9250808
219793925,9203768,9251064
219809925,9205336,9251032
219825925,9205752,9251608
219841925,9205048,9252056
219857925,9204568,9252120
219873925,9204088,9251960
219889925,9204952,9250360
219905925,9205080,9251992
219921925,9205208,9251640
219937925,9204568,9252024
219953925,9205304,9250744
219969925,9205080,9252248
219985925,9204280,9251256
220001925,9205016,9251288
220017925,9204248,9252152
220033925,9204824,9251672
220049925,9204920,9251864
220065925,9204792,9251480
220081925,9203928,9251736
220097925,9204376,9251576
220113925,9204856,9251736
220129925,9205208,9251544
220145925,9204344,9252472
220161925,9205304,9250840
220177925,9205240,9251320
220193925,9205272,9251096
220209925,9205496,9251096
220225925,9204824,9250936
220241925,9205272,9252184
220257925,9203928,9250904
220273925,9204696,9250840
220289925,9206264,9251160
220305925,9205176,9250680
220321925,9204536,9251800
220337925,9205272,9251480
220353925,9204440,9252568
220369925,9204472,9251800
220385925,9205464,9251544
220401925,9205208,9250904
220417925,9204664,9251032
220433925,9205336,9251448
220449925,9204888,9252536
220465925,9204248,9252344
220481925,9204376,9253112
220497925,9204568,9251512
220513925,9204664,9251832
220529925,9205336,9252088
220545925,9205016,9251768
220561925,9203992,9251608
220577925,9204376,9252216
220593925,9204088,9251800
220609925,9203416,9252376
220625925,9204728,9251256
220641925,9205464,9251064
220657925,9205656,9251992
220673925,9203832,9252280
220689925,9205176,9252216
220705925,9204600,9252344
220721925,9204760,9251864
220737925,9204248,9252600
220753925,9205560,9252312
220769925,9204952,9251960
220785925,9204344,9251640
220801925,9204760,9252952
220817925,9204280,9251576
220833925,9205240,9251544
220849925,9204568,9252216
220865925,9204408,9252664
220881925,9204216,9253208
220897925,9204184,9252600
220913925,9204664,9250936
220929925,9204344,9251992
220945925,9204952,9251704
220961925,9204696,9252856
220977925,9205112,9251288
220993925,9205048,9251896
221009925,9204600,9251512
221025925,9204952,9252568
221041925,9203864,9252664
221057925,9204888,9251640
221073925,9205144,9251544
221089925,9204664,9252024
221105925,9204568,9252216
221121925,9204120,9251640
221137925,9204216,9252664
221153925,9204152,9251832
221169925,9203928,9250744
221185925,9205176,9251832
221201925,9205208,9252216
221217925,9204536,9251224
221233925,9204376,9252056
221249925,9203640,9251288
221265925,9205784,9252568
221281925,9204792,9252664
221297925,9205048,9252952
221439925,9206200,9250488
221455925,9205880,9250040
221471925,9205848,9250456
221487925,9205976,9249176
221503925,9205528,9250360
221519925,9205080,9250296
221535925,9206232,9249752
221551925,9204792,9250072
221567925,9205208,9249432
221583925,9206424,9248792
221599925,9205048,9250776
221615925,9205048,9250360
221631925,9205656,9249144
221647925,9205048,9250904
221663925,9205080,9249624
221679925,9204664,9250520
221695925,9204824,9251160
221711925,9204376,9250200
221727925,9204792,9251544
221743925,9205528,9250296
221759925,9205560,9250552
221775925,9205624,9250776
221791925,9206168,9251096
221807925,9205272,9250648
221823925,9204760,9251224
221839925,9205048,9251128
221855925,9204600,9251320
221871925,9205144,9250168
221887925,9205176,9251608
221903925,9205272,9251320
221919925,9205624,9252632
221935925,9204920,9251064
221951925,9205112,9250072
221967925,9205144,9251352
221983925,9205272,9250904
221999925,9204056,9251256
222015925,9205176,9251640
222031925,9205688,9250968
222047925,9204728,9251256
222063925,9205528,9251608
222079925,9204952,9252024
222095925,9204312,9252376
222111925,9205144,9251480
222127925,9204664,9251608
222143925,9205432,9251576
222159925,9205944,9251608
222175925,9204728,9251736
222191925,9204888,9250808
222207925,9204088,9251352
222223925,9204728,9251704
222239925,9204536,9251288
222255925,9205080,9252056
222271925,9205400,9251672
222287925,9204856,9252088
222303925,9205208,9250840
222319925,9204472,9252600
222335925,9204536,9251416
222351925,9204184,9250104
222367925,9204920,9251544
222383925,9204312,9251832
222399925,9205496,9251512
222415925,9204984,9251544
222431925,9205272,9251960
222447925,9203416,9252024
222463925,9204792,9252152
222479925,9203192,9251480
222495925,9205400,9251544
222511925,9205240,9249528
222527925,9204536,9252376
222543925,9204024,9251512
222559925,9204376,9250616
222575925,9205144,9251384
222591925,9204408,9251960
222607925,9204600,9251640
222623925,9204312,9252024
222639925,9205048,9252056
222655925,9204920,9251448
222671925,9205048,9251736
222687925,9205048,9251320
222703925,9204824,9251768
222719925,9205592,9251768
222735925,9204888,9252824
222751925,9204440,9251704
222767925,9203576,9251896
222783925,9205272,9251032
222799925,9204792,9251992
222815925,9203416,9252088
222831925,9205784,9251320
222847925,9204312,9251000
222863925,9204440,9252152
222879925,9204632,9252376
222895925,9204664,9252088
222911925,9204472,9251928
222927925,9204952,9251768
222943925,9204568,9252184
222959925,9204888,9252152
222975925,9205144,9251896
222991925,9203960,9252472
223007925,9204632,9252216
223023925,9205112,9251320
223039925,9203864,9252248
223055925,9205400,9252792
223071925,9204440,9252120
223087925,9204184,9252536
223103925,9204536,9251544
223119925,9204728,9252440
223135925,9204632,9252408
223151925,9204600,9251704
223167925,9204440,9251352
223183925,9205144,9251960
223199925,9204312,9251992
223215925,9204120,9251160
223231925,9203672,9252408
223247925,9204664,9252856
223263925,9205400,9252248
223279925,9205272,9252920
223295925,9204440,9252440
223311925,9204088,9251736
223327925,9205208,9252184
223343925,9205176,9251800
223359925,9205592,9252568
223375925,9204632,9252504
223391925,9203416,9252792
223407925,9204920,9251736
223423925,9203960,9252280
223439925,9205592,9250488
223455925,9205304,9252088
223471925,9204696,9251832
223487925,9204120,9252088
223503925,9203480,9251736
223519925,9204664,9252088
223535925,9204280,9252120
223551925,9205176,9252216
223567925,9204440,9251416
223583925,9204568,9253272
223599925,9204888,9252280
223615925,9205368,9253304
223631925,9204856,9252280
223647925,9205336,9252088
223663925,9204760,9252280
223679925,9204952,9251544
223695925,9204280,9251896
223711925,9204696,9251704
223727925,9205144,9251608
223743925,9204856,9252408
223759925,9205656,9252536
223775925,9205176,9251448
223791925,9205432,9251352
223807925,9203768,9252024
223823925,9204056,9252152
223839925,9204056,9252792
223981925,9204536,9250264
223997925,9206232,9249784
224013925,9205080,9250872
224029925,9205080,9249784
224045925,9205112,9250552
224061925,9206136,9250648
224077925,9204856,9250008
224093925,9204984,9250424
224109925,9205784,9250616
224125925,9205912,9250680
224141925,9205016,9250968
224157925,9205624,9250104
224173925,9205368,9250776
224189925,9204920,9250264
224205925,9204344,9250488
224221925,9205432,9250456
224237925,9204536,9250104
224253925,9205080,9249880
224269925,9205592,9251256
224285925,9205592,9251480
224301925,9204216,9251032
224317925,9205304,9251928
224333925,9204568,9251544
224349925,9204792,9250552
224365925,9205240,9251128
224381925,9204120,9250232
224397925,9204824,9251320
224413925,9205752,9250072
224429925,9204440,9251608
224445925,9205400,9250552
224461925,9205784,9250328
224477925,9204088,9250840
224493925,9205528,9250744
224509925,9204824,9250744
224525925,9204376,9250904
224541925,9205816,9251896
224557925,9204984,9251448
224573925,9204344,9251288
224589925,9204824,9251672
224605925,9205656,9250552
224621925,9203800,9251608
224637925,9205464,9251704
224653925,9205112,9251896
224669925,9205496,9251896
224685925,9204248,9251256
224701925,9203320,9251000
224717925,9204152,9250840
224733925,9205656,9251736
224749925,9204600,9250872
224765925,9205048,9251352
224781925,9204568,9251800
224797925,9205304,9252152
224813925,9204536,9251704
224829925,9205656,9251960
224845925,9204888,9251096
224861925,9204696,9251608
224877925,9205432,9251416
224893925,9204824,9252504
224909925,9204536,9251512
224925925,9204824,9252440
224941925,9204216,9252440
224957925,9205272,9251832
224973925,9205400,9250904
224989925,9204248,9251768
225005925,9204664,9251992
225021925,9205240,9251928
225037925,9204472,9251512
225053925,9204632,9251160
225069925,9203672,9251448
225085925,9204664,9251992
225101925,9204792,9251192
225117925,9204856,9252344
225133925,9203736,9251736
225149925,9204440,9250968
225165925,9204760,9252152
225181925,9204696,9252152
225197925,9204120,9251768
225213925,9204632,9252184
225229925,9205336,9251448
225245925,9204344,9251000
225261925,9203544,9252120
225277925,9204760,9252504
225293925,9205144,9251832
225309925,9204600,9251480
225325925,9204888,9251576
225341925,9203864,9251832
225357925,9204344,9252568
225373925,9204952,9251960
225389925,9205400,9252664
225405925,9204952,9253208
225421925,9204504,9252376
225437925,9204856,9252600
225453925,9204920,9252376
225469925,9204504,9251960
225485925,9204152,9251608
225501925,9204792,9252056
225517925,9204792,9252280
225533925,9204408,9252568
225549925,9204536,9252760
225565925,9204408,9251480
225581925,9203704,9253080
225597925,9203960,9252472
225613925,9203768,9251896
225629925,9203224,9252056
225645925,9204568,9252824
225661925,9204632,9251864
225677925,9204152,9251352
225693925,9204888,9251384
225709925,9204056,9252152
225725925,9204824,9252440
225741925,9203768,9252120
225757925,9204664,9252312
225773925,9204408,9252632
225789925,9203928,9251928
225805925,9204440,9252504
225821925,9204856,9251512
225837925,9204600,9252568
225853925,9203864,9252152
225869925,9204728,9252376
225885925,9204664,9251960
225901925,9205208,9251960
225917925,9205176,9251768
225933925,9204504,9252472
225949925,9203928,9252376
225965925,9204664,9251256
225981925,9205144,9252568
225997925,9205688,9252056
226013925,9204920,9252312
226029925,9204856,9252248
226045925,9204920,9251704
226061925,9204792,9251832
226077925,9204088,9251704
226093925,9204760,9252696
226109925,9205144,9251864
226125925,9204600,9251256
226141925,9204696,9251736
226157925,9204600,9252472
226173925,9204984,9252376
226189925,9204856,9252632
226205925,9204984,9252632
226221925,9204344,9252600
226237925,9204888,9252408
226253925,9204760,9251480
226269925,9204920,9252632
226285925,9204088,9252792
226301925,9203064,9252472
226317925,9204280,9252536
226333925,9205496,9252632
226349925,9203608,9251256
226365925,9204440,9252088
226381925,9205016,9252536
226397925,9204088,9252856
226547925,9205624,9249752
226563925,9205368,9248760
226579925,9205720,9249720
226595925,9205208,9249656
226611925,9205336,9250424
226627925,9206424,9251064
226643925,9205432,9250744
226659925,9204248,9249880
226675925,9204952,9250872
226691925,9205112,9250520
226707925,9205560,9250616
226723925,9204888,9249592
226739925,9204984,9251160
226755925,9204760,9250648
226771925,9205240,9250488
226787925,9205144,9250616
226803925,9204856,9250584
226819925,9205848,9250872
226835925,9205368,9251704
226851925,9205848,9250520
226867925,9205112,9251768
226883925,9204600,9250776
226899925,9205688,9250968
226915925,9204824,9249816
226931925,9205208,9251000
226947925,9204568,9250456
226963925,9204248,9251640
226979925,9205336,9251320
226995925,9204568,9250520
227011925,9205752,9251896
227027925,9205368,9252120
227043925,9205816,9251640
227059925,9204888,9250904
227075925,9204632,9251608
227091925,9204600,9251032
227107925,9204888,9252280
227123925,9205176,9251800
227139925,9204728,9251352
227155925,9203480,9251992
227171925,9204472,9251864
227187925,9204152,9251224
227203925,9204568,9250968
227219925,9205592,9252696
227235925,9204440,9252536
227251925,9203992,9252536
227267925,9204984,9251928
227283925,9204728,9252024
227299925,9205880,9252376
227315925,9205272,9251544
227331925,9203896,9251832
227347925,9204600,9251256
227363925,9205176,9252376
227379925,9205208,9251928
227395925,9204408,9251512
227411925,9204120,9251864
227427925,9205048,9252504
227443925,9203832,9251960
227459925,9205496,9252056
227475925,9204920,9251096
227491925,9204824,9251640
227507925,9204760,9251480
227523925,9204536,9252536
227539925,9204344,9252280
227555925,9204248,9252120
227571925,9203352,9252024
227587925,9204216,9252216
227603925,9205368,9251768
227619925,9204536,9252760
227635925,9204664,9252344
227651925,9204056,9252568
227667925,9204120,9251960
