timestamp_ms,mag_x_ut,mag_y_ut,mag_z_ut
7951,-8.1116,-55.4382,-55.7190
7961,-7.9102,-54.8950,-56.4026
7971,-7.7942,-54.2297,-56.9702
7981,-7.6721,-53.2166,-57.6965
7991,-7.6904,-52.5269,-57.8674
8001,-7.5134,-51.7395,-58.3740
8011,-7.5073,-50.9216,-58.9111
8021,-7.1350,-50.0122,-59.4910
8031,-7.1228,-49.1455,-59.8938
8041,-7.0740,-48.6694,-60.3821
8051,-6.9702,-47.8088,-60.6995
8061,-6.9031,-47.4182,-60.9070
8071,-6.7261,-46.5637,-61.0657
8081,-6.5735,-45.9534,-61.4502
8091,-6.3293,-45.5505,-61.9080
8101,-6.0486,-44.9585,-61.8591
8111,-5.9448,-44.7144,-62.0300
8121,-5.7007,-44.1345,-62.3108
8131,-5.4810,-43.7683,-62.4084
8141,-5.2734,-42.8284,-62.6038
8151,-5.0598,-41.9922,-63.1042
8161,-4.8950,-41.2109,-63.3301
8171,-4.6753,-40.7715,-63.5193
8181,-4.6997,-40.2100,-63.4766
8191,-4.7241,-40.3564,-63.7146
8201,-4.8279,-40.2832,-63.7451
8211,-4.9316,-40.2588,-63.5071
8221,-4.9377,-40.1672,-63.4399
8231,-4.8462,-40.0330,-63.7695
8241,-4.9927,-39.7095,-63.8916
8251,-4.9011,-39.6057,-63.5071
8261,-4.7119,-39.3005,-63.6963
8271,-4.6204,-39.0747,-63.6414
8281,-4.5349,-39.0320,-63.7756
8291,-4.3335,-38.8489,-63.7451
8301,-4.1992,-38.6475,-63.8672
8311,-4.1260,-38.4460,-63.5742
8321,-3.8635,-38.4155,-63.7268
8331,-3.8696,-38.3606,-63.7817
8341,-3.6743,-37.9395,-63.9160
8351,-3.6987,-37.7380,-63.8916
8361,-3.6133,-37.5183,-63.9099
8371,-3.4119,-37.1704,-64.0442
8381,-3.0945,-37.2681,-63.9832
8391,-2.8259,-37.0789,-63.8000
8401,-2.4536,-37.2498,-63.8489
8411,-2.0569,-37.2375,-63.8000
8421,-1.3367,-37.4207,-63.7634
8431,-0.8240,-37.5183,-63.4460
8441,-0.3540,-37.5305,-63.1287
8451,0.4272,-37.6465,-63.1775
8461,1.3611,-37.6770,-63.0249
8471,2.4597,-37.8113,-62.9700
8481,3.4119,-38.2568,-62.4390
8491,4.1443,-38.4521,-62.1216
8501,4.9011,-38.6597,-61.7371
8511,5.5054,-39.2700,-61.5234
8521,6.0852,-39.7888,-61.3037
8531,6.6650,-40.2100,-60.9924
8541,7.2205,-41.2903,-60.2234
8551,7.8674,-41.9189,-59.9365
8561,8.4961,-42.6819,-59.1980
8571,9.3018,-43.3533,-58.8257
8581,9.6680,-44.0979,-58.1604
8591,10.1807,-44.7083,-57.6660
8656,13.9099,-45.1538,-55.4199
8666,14.5630,-44.9341,-55.1697
8676,15.1611,-44.7083,-54.9561
8686,15.9729,-44.4580,-54.6326
8696,16.5100,-44.0491,-54.1199
8706,17.4744,-43.8171,-53.6926
8716,18.2373,-43.8843,-53.0518
8726,19.3115,-43.9209,-52.3071
8736,19.9524,-44.2322,-51.4771
8746,20.7458,-44.4641,-50.7812
8756,21.4233,-44.8181,-49.7375
8766,22.2717,-45.0806,-48.9075
8776,22.8943,-45.2332,-48.1384
8786,23.6145,-44.9707,-47.3083
8796,24.2859,-44.9158,-46.4172
8806,24.9451,-44.4763,-46.0449
8816,25.5371,-44.0857,-45.6360
8826,25.9521,-44.0613,-45.2393
8836,26.3611,-44.2627,-44.3970
8846,26.6785,-44.2688,-43.7866
8856,26.9592,-44.5251,-42.9016
8866,27.4475,-44.5801,-42.6392
8876,27.7405,-44.8303,-41.9067
8886,28.3203,-44.7815,-41.0522
8896,29.0161,-44.7327,-39.6667
8906,29.6509,-44.4092,-39.0320
8916,30.0293,-44.2932,-38.0310
8926,30.3345,-44.4946,-37.0300
8936,30.6458,-44.6655,-36.1145
8946,30.8716,-45.0989,-35.5042
8956,30.9448,-45.2881,-34.8938
8966,31.2195,-45.7153,-33.8867
8976,31.7810,-45.6177,-31.9641
8986,32.1655,-45.4163,-31.2317
8996,32.6050,-44.9768,-30.2917
9006,32.9895,-44.7998,-29.5288
9016,33.1665,-44.8486,-28.7537
9026,33.0750,-45.1660,-28.1677
9036,33.0994,-45.3674,-27.9541
9046,33.2764,-45.5322,-27.5024
9056,33.1116,-45.6177,-26.9409
9066,33.3008,-45.4529,-26.5381
9076,33.4595,-45.4834,-25.9155
9086,33.5693,-45.2820,-25.3906
9096,33.8501,-45.2087,-24.6948
9106,33.9661,-44.8608,-23.8281
9116,34.0576,-44.7937,-23.3765
9126,34.1492,-44.9585,-22.2473
9136,34.1736,-45.2332,-21.3257
9146,34.1614,-45.1416,-19.9341
9156,34.1797,-45.2942,-18.6340
9166,34.2407,-44.8669,-17.5049
9176,34.3140,-44.4336,-16.0706
9186,34.4482,-44.0735,-14.9170
9196,34.4482,-43.8110,-13.6841
9206,34.4604,-43.0969,-12.4512
9216,34.4727,-42.8772,-11.3708
9226,34.4116,-42.6636,-10.5286
9236,34.1553,-42.7673,-9.7961
9246,34.0881,-42.7673,-9.5764
9256,34.0393,-42.8101,-8.9417
9266,33.8379,-42.8589,-8.6853
9276,33.8257,-43.0725,-8.1421
9286,33.7097,-42.9016,-7.6721
9296,33.6365,-42.7734,-7.3364
9306,33.5571,-42.5049,-6.4270
9316,33.3191,-42.4377,-5.9143
9326,33.2153,-42.2119,-5.1086
9336,33.1177,-42.0532,-4.1992
9346,32.8186,-42.1448,-3.6560
9356,32.6294,-42.1143,-3.0029
9366,32.2937,-41.9434,-2.4536
9376,32.0496,-42.0898,-1.8250
9386,31.6467,-42.1082,-1.3489
9396,31.4819,-42.0837,-0.6104
9406,31.2866,-41.9006,0.0366
9416,31.2317,-41.4124,0.5493
9426,30.9448,-41.0583,1.1780
9436,30.9570,-40.7166,1.9287
9446,30.6274,-39.9780,2.6672
9456,30.4077,-39.9963,3.2593
9466,30.2490,-39.9719,3.6377
9476,30.0354,-39.6179,3.8696
9486,29.8584,-39.8010,4.2480
9496,29.6448,-39.5996,4.5166
9506,29.4495,-39.5874,5.3223
9516,29.2236,-39.3433,5.9021
9526,29.1748,-39.1724,5.6763
9536,29.0466,-39.0564,6.0608
9546,28.8818,-38.6658,6.3904
9556,28.6865,-38.5437,6.9214
9566,28.5461,-38.3667,7.1045
9576,28.3508,-38.2812,7.3059
9586,28.1677,-38.4399,7.7332
9596,27.9480,-38.5315,7.7698
9606,27.6672,-38.6108,8.0139
9616,27.4536,-38.4521,8.4351
9626,27.1790,-38.4399,8.9233
9636,26.7822,-38.5498,9.6924
9646,26.4526,-38.2385,10.0769
9656,26.2207,-37.7869,10.4797
9666,25.8057,-37.5244,11.0962
9676,25.4211,-37.0361,11.7371
9686,24.9756,-36.9812,12.5305
9696,24.6094,-36.6455,13.0188
9706,24.3164,-36.4807,13.3423
9716,23.9807,-36.0840,13.8000
9726,23.7061,-35.9558,14.1052
9736,23.1689,-35.6812,14.5996
9746,22.8333,-35.4553,15.1855
9756,22.3694,-34.9854,15.9912
9766,22.0093,-34.3628,16.2659
9776,21.6248,-33.9172,16.6321
9786,21.1243,-33.2520,17.2607
9796,20.7520,-32.8613,18.0298
9806,20.4346,-32.2510,18.1335
9816,19.9951,-31.9336,18.9148
9826,19.7083,-31.7993,18.9880
9836,19.4275,-31.5308,19.1772
9846,19.1162,-31.4941,19.1589
9856,18.9575,-31.4697,19.5068
9866,18.7439,-31.6467,19.5129
9876,18.4998,-31.5002,19.8547
9886,18.2312,-31.5002,19.9951
9896,17.9077,-31.2073,20.2148
9906,17.4500,-30.7190,20.4773
9916,17.3218,-30.3772,20.8496
9926,16.5894,-29.4800,21.6675
9936,16.2109,-28.9490,21.7957
9946,15.9790,-28.5156,22.0520
9956,15.6982,-28.0334,22.3816
9966,15.3809,-27.4658,22.4487
9976,14.9902,-26.8005,22.7966
9986,14.6790,-26.3123,23.1506
9996,14.4104,-25.7751,23.4314
10006,14.2395,-24.8718,23.5352
10016,14.0686,-24.3164,23.6633
10026,13.7878,-23.7854,23.6816
10036,13.5742,-23.4680,23.8220
10046,13.2935,-23.0896,24.2249
